table_name,table_schema,column_name,data_type
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,reworks_clearance_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,breakage_clearance_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,ro_clearance_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,returns_write_off_costs_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,merchandise_price_variance_other_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,isos_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,polling_failure_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,reinstates_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,revaluation_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,undelivered_cos_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,waste_electrical_electronic_equipment_recycling_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,margin_intercompany_costs_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,gross_profit_adjustments_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,gross_profit_amt,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,sales_exclusion_ind,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,operating_company_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,op_co_item_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,style_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,segment_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,sub_cat_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,cat_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,super_cat_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,business_unit_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,buyer_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,cat_manager_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,business_unit_dir_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_height,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_length,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_width,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,units_per_item_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,unit_or_item_weight_or_vol_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_total_weight_or_vol_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,std_unt_or_item_wgt_or_vol_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,std_item_total_wgt_or_vol_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,gross_packaged_weight_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,drained_weight_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,volumetric_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,average_unit_weight_qty,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,item_catalogue_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,merchandiser_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,op_co_combined_series_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,group_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,responsibility_group_cd,integer
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,minimum_life_on_issue_in_days,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,minimum_life_on_reciept_in_days,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,minimum_customer_life_in_days,real
